session, pass     , item_id, position, start_sec           , end_sec, n_whisper_words_matched, match_ratio, flag
s01    , B_natural, F013   ,       95, 265.42              ,  268.08,                       8,      0.8889, ok
s01    , B_natural, D003   ,       96, 268.08              ,  270.88,                       7,      1.0   , ok
s01    , B_natural, C017   ,       97, 270.88              ,  272.46,                       4,      0.6667, low_confidence
s01    , B_natural, F017   ,       98, 273.08              ,  276.46,                       9,      1.0   , ok
s01    , B_natural, C014   ,       99, 276.46              ,  280.18,                       5,      0.8333, ok
s01    , B_natural, D035   ,      100, 280.18              ,  283.36,                      10,      1.0   , ok
s01    , C_creak  , D021   ,        1,   2.0799999999999987,    5.74,                       9,      0.9   , ok
s01    , C_creak  , D006   ,        2,   5.74              ,    8.84,                       8,      1.0   , ok
s01    , C_creak  , F002   ,        3,   8.84              ,   11.7 ,                       9,      1.0   , ok
s01    , C_creak  , F017   ,        4,  11.7               ,   15.14,                       9,      1.0   , ok
s01    , C_creak  , D012   ,        5,  15.14              ,   18.2 ,                       8,      0.8889, ok
s01    , C_creak  , D003   ,        6,  18.2               ,   21.12,                       7,      1.0   , ok
s01    , C_creak  , C007   ,        7,  21.12              ,   24.14,                       7,      1.0   , ok
s01    , C_creak  , C017   ,        8,  24.14              ,   25.86,                       4,      0.6667, low_confidence
s01    , C_creak  , D014   ,        9,  26.58              ,   29.56,                       7,      0.875 , ok
s01    , C_creak  , D017   ,       10,  29.98              ,   33.06,                       5,      0.625 , low_confidence
s01    , C_creak  , C020   ,       11,  33.4               ,   36.78,                       8,      1.0   , ok
s01    , C_creak  , D035   ,       12,  36.78              ,   40.34,                      10,      1.0   , ok
s01    , C_creak  , F023   ,       13,  40.34              ,   43.86,                      10,      1.0   , ok
s01    , C_creak  , C003   ,       14,  43.86              ,   46.34,                       6,      1.0   , ok
s01    , C_creak  , C022   ,       15,  46.34              ,   49.02,                       6,      1.0   , ok
s01    , C_creak  , F019   ,       16,  49.02              ,   52.54,                      10,      1.0   , ok
s01    , C_creak  , F009   ,       17,  52.54              ,   55.66,                       9,      0.9   , ok
s01    , C_creak  , F016   ,       18,  55.66              ,   59.04,                       8,      1.0   , ok
